whitecount_line0,start_line0,end_line0,median_red_contours_touching_line0,median_green_contours_touching_line0,median_blue_contours_touching_line0,whitecount_line1,start_line1,end_line1,median_red_contours_touching_line1,median_green_contours_touching_line1,median_blue_contours_touching_line1,whitecount_line2,start_line2,end_line2,median_red_contours_touching_line2,median_green_contours_touching_line2,median_blue_contours_touching_line2,whitecount_line3,start_line3,end_line3,median_red_contours_touching_line3,median_green_contours_touching_line3,median_blue_contours_touching_line3,whitecount_line4,start_line4,end_line4,median_red_contours_touching_line4,median_green_contours_touching_line4,median_blue_contours_touching_line4,whitecount_line5,start_line5,end_line5,median_red_contours_touching_line5,median_green_contours_touching_line5,median_blue_contours_touching_line5,whitecount_line6,start_line6,end_line6,median_red_contours_touching_line6,median_green_contours_touching_line6,median_blue_contours_touching_line6,whitecount_line7,start_line7,end_line7,median_red_contours_touching_line7,median_green_contours_touching_line7,median_blue_contours_touching_line7,whitecount_line8,start_line8,end_line8,median_red_contours_touching_line8,median_green_contours_touching_line8,median_blue_contours_touching_line8,whitecount_line9,start_line9,end_line9,median_red_contours_touching_line9,median_green_contours_touching_line9,median_blue_contours_touching_line9
478,174,179,18,13,20,451,348,353,17,14,16,772,522,527,14,12,18,328,696,701,20,16,19,287,870,875,14,13,19,752,1044,1049,26,15,16,527,1218,1223,23,19,21,1070,1392,1397,26,20,22,615,1566,1571,20,18,19,908,1740,1745,20,18,16
315,174,179,24,16,18,540,348,353,24,17,22,337,522,527,29,17,19,383,696,701,24,21,26,148,870,875,22,19,22,344,1044,1049,44,28,21,454,1218,1223,27,19,16,623,1392,1397,71,47,37,585,1566,1571,31,21,21,514,1740,1745,37,27,27
688,174,179,11,12,12,453,348,353,8,9,12,299,522,527,20,20,19,486,696,701,10,10,10,339,870,875,13,13,14,325,1044,1049,14,14,16,414,1218,1223,27,23,24,533,1392,1397,21,22,25,173,1566,1571,27,23,40,773,1740,1745,46,29,39
1178,174,179,7,8,5,1184,348,353,6,6,4,1181,522,527,7,8,5,991,696,701,7,8,5,1052,870,875,6,8,5,1183,1044,1049,7,8,5,1109,1218,1223,8,8,5,1078,1392,1397,8,8,6,1555,1566,1571,8,8,6,449,1740,1745,40,31,32
1317,174,179,6,6,3,1156,348,353,6,8,3,1177,522,527,8,8,4,1088,696,701,6,6,3,1565,870,875,6,8,5,1413,1044,1049,6,8,3,1324,1218,1223,6,8,3,1720,1392,1397,7,8,5,1679,1566,1571,8,8,5,1998,1740,1745,6,8,4
1603,174,179,8,8,5,1258,348,353,6,8,4,1258,522,527,6,8,5,1147,696,701,6,6,3,1803,870,875,6,8,5,1248,1044,1049,8,8,4,1251,1218,1223,6,6,3,1407,1392,1397,6,8,5,1453,1566,1571,8,8,4,1751,1740,1745,7,8,4
1476,174,179,9,8,5,1074,348,353,9,8,5,1337,522,527,9,8,5,1041,696,701,8,8,5,1388,870,875,9,8,6,1492,1044,1049,9,8,5,1180,1218,1223,9,8,5,1306,1392,1397,8,8,5,1108,1566,1571,9,8,5,1350,1740,1745,9,8,5
1140,174,179,7,4,3,1136,348,353,8,4,2,1075,522,527,8,4,2,1110,696,701,8,4,2,1330,870,875,7,4,2,1201,1044,1049,8,4,2,1215,1218,1223,7,4,2,1182,1392,1397,8,4,2,1162,1566,1571,8,4,2,1403,1740,1745,9,4,3
928,174,179,5,1,0,947,348,353,4,2,0,798,522,527,4,2,0,880,696,701,6,1,0,610,870,875,5,1,0,1139,1044,1049,5,1,0,669,1218,1223,5,1,0,1137,1392,1397,5,1,0,973,1566,1571,5,1,0,929,1740,1745,4,1,0
582,174,179,4,1,0,778,348,353,5,2,0,330,522,527,5,1,0,969,696,701,5,1,0,997,870,875,4,1,0,734,1044,1049,4,1,0,742,1218,1223,5,1,0,731,1392,1397,5,1,0,733,1566,1571,4,1,0,905,1740,1745,4,1,0
332,174,179,5,1,0,539,348,353,4,1,0,479,522,527,5,1,0,397,696,701,5,1,0,514,870,875,5,1,0,457,1044,1049,4,1,0,549,1218,1223,6,1,0,310,1392,1397,3,1,0,489,1566,1571,5,1,0,572,1740,1745,3,1,0
439,174,179,5,1,0,449,348,353,5,2,0,598,522,527,5,2,0,264,696,701,7,2,1,88,870,875,5,1,1,537,1044,1049,6,2,0,209,1218,1223,6,1,0,265,1392,1397,7,2,0,197,1566,1571,7,3,0,186,1740,1745,5,2,0
284,174,179,7,2,0,363,348,353,6,2,0,160,522,527,6,2,0,180,696,701,6,2,0,503,870,875,6,1,0,150,1044,1049,8,2,0,236,1218,1223,6,2,0,180,1392,1397,7,1,0,175,1566,1571,8,2,0,307,1740,1745,7,3,2
243,174,179,8,2,0,0,348,353,-1,-1,-1,253,522,527,10,2,0,298,696,701,7,3,2,273,870,875,6,2,0,286,1044,1049,9,4,2,220,1218,1223,7,2,0,96,1392,1397,7,3,3,373,1566,1571,9,2,0,212,1740,1745,11,3,1
12,174,179,10,5,5,85,348,353,10,4,1,150,522,527,8,5,5,50,696,701,7,8,10,219,870,875,75,55,45,151,1044,1049,10,3,0,106,1218,1223,16,6,3,114,1392,1397,18,11,9,313,1566,1571,15,5,1,406,1740,1745,12,7,4
144,174,179,78,62,45,151,348,353,19,13,13,76,522,527,32,25,18,163,696,701,17,12,14,352,870,875,31,22,17,734,1044,1049,31,11,5,108,1218,1223,19,10,6,182,1392,1397,60,50,38,0,1566,1571,-1,-1,-1,57,1740,1745,27,18,13
135,174,179,32,40,39,67,348,353,34,28,25,77,522,527,67,69,69,184,696,701,75,74,71,105,870,875,118,96,85,572,1044,1049,123,100,94,160,1218,1223,105,86,66,0,1392,1397,-1,-1,-1,185,1566,1571,95,89,80,108,1740,1745,52,46,39
0,174,179,-1,-1,-1,178,348,353,105,108,106,0,522,527,-1,-1,-1,0,696,701,-1,-1,-1,54,870,875,0,0,0,696,1044,1049,123,102,95,39,1218,1223,1,0,0,0,1392,1397,-1,-1,-1,45,1566,1571,0,0,0,0,1740,1745,-1,-1,-1
39,174,179,0,0,0,0,348,353,-1,-1,-1,45,522,527,0,0,0,205,696,701,66,53,49,99,870,875,25,11,0,793,1044,1049,118,99,93,0,1218,1223,-1,-1,-1,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
30,174,179,0,0,0,0,348,353,-1,-1,-1,50,522,527,0,0,0,208,696,701,66,53,49,98,870,875,22,11,0,798,1044,1049,119,99,93,0,1218,1223,-1,-1,-1,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
20,174,179,1,0,0,0,348,353,-1,-1,-1,40,522,527,0,0,0,210,696,701,65,53,49,99,870,875,23,11,0,808,1044,1049,119,99,93,0,1218,1223,-1,-1,-1,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,27,522,527,0,1,0,225,696,701,66,54,49,99,870,875,27,11,2,809,1044,1049,125,102,96,10,1218,1223,21,13,10,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,248,696,701,65,54,50,97,870,875,24,12,1,834,1044,1049,124,102,96,27,1218,1223,26,20,17,0,1392,1397,-1,-1,-1,27,1566,1571,0,0,1,0,1740,1745,-1,-1,-1
45,174,179,0,0,0,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,277,696,701,66,55,51,76,870,875,23,11,1,852,1044,1049,124,102,96,45,1218,1223,31,23,20,45,1392,1397,0,0,0,45,1566,1571,0,0,0,0,1740,1745,-1,-1,-1
54,174,179,0,0,1,54,348,353,0,0,1,0,522,527,-1,-1,-1,303,696,701,68,56,51,55,870,875,49,24,1,889,1044,1049,124,103,96,85,1218,1223,41,32,33,0,1392,1397,-1,-1,-1,55,1566,1571,0,1,6,0,1740,1745,-1,-1,-1
60,174,179,1,1,8,50,348,353,0,0,0,0,522,527,-1,-1,-1,309,696,701,129,104,93,65,870,875,27,13,0,921,1044,1049,124,103,96,417,1218,1223,130,105,99,0,1392,1397,-1,-1,-1,42,1566,1571,0,1,1,0,1740,1745,-1,-1,-1
36,174,179,28,0,0,100,348,353,0,0,1,0,522,527,-1,-1,-1,388,696,701,65,52,47,82,870,875,27,13,2,995,1044,1049,119,100,94,1259,1218,1223,131,105,100,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
41,174,179,1,13,20,45,348,353,0,0,0,0,522,527,-1,-1,-1,436,696,701,65,52,47,96,870,875,26,12,9,1060,1044,1049,114,90,84,1831,1218,1223,138,110,105,0,1392,1397,-1,-1,-1,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
20,174,179,2,13,55,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,524,696,701,66,53,47,0,870,875,-1,-1,-1,1068,1044,1049,114,91,85,1606,1218,1223,70,56,57,0,1392,1397,-1,-1,-1,50,1566,1571,0,0,0,20,1740,1745,0,0,0
40,174,179,0,0,4,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,527,696,701,65,52,48,0,870,875,-1,-1,-1,1117,1044,1049,117,96,90,776,1218,1223,141,112,106,0,1392,1397,-1,-1,-1,18,1566,1571,0,0,0,9,1740,1745,6,3,1
0,174,179,-1,-1,-1,85,348,353,0,0,2,0,522,527,-1,-1,-1,513,696,701,66,53,49,48,870,875,0,1,3,1142,1044,1049,118,97,90,131,1218,1223,128,102,95,1447,1392,1397,142,113,106,0,1566,1571,-1,-1,-1,9,1740,1745,1,1,1
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,204,522,527,88,73,71,428,696,701,132,106,97,112,870,875,1,1,4,1230,1044,1049,116,93,85,209,1218,1223,116,93,85,2692,1392,1397,143,113,107,11,1566,1571,1,0,2,39,1740,1745,0,0,1
50,174,179,1,0,1,0,348,353,-1,-1,-1,559,522,527,134,108,98,449,696,701,78,62,51,19,870,875,0,0,2,1256,1044,1049,119,97,91,257,1218,1223,117,93,86,787,1392,1397,143,114,107,596,1566,1571,143,114,107,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,699,522,527,67,54,49,308,696,701,70,48,39,50,870,875,0,0,2,1214,1044,1049,119,98,92,392,1218,1223,8,5,15,766,1392,1397,66,53,52,3602,1566,1571,138,112,106,10,1740,1745,3,0,2
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,790,522,527,134,108,98,96,696,701,86,62,52,20,870,875,63,50,41,1088,1044,1049,122,103,97,446,1218,1223,67,53,53,33,1392,1397,45,35,37,823,1566,1571,67,54,53,4794,1740,1745,106,83,80
74,174,179,7,0,1,0,348,353,-1,-1,-1,862,522,527,134,108,98,10,696,701,1,2,1,104,870,875,23,15,7,1133,1044,1049,122,103,97,467,1218,1223,119,94,87,0,1392,1397,-1,-1,-1,1016,1566,1571,1,2,11,55,1740,1745,6,5,6
0,174,179,-1,-1,-1,391,348,353,104,85,76,905,522,527,133,108,98,0,696,701,-1,-1,-1,136,870,875,47,30,13,1190,1044,1049,122,103,97,517,1218,1223,94,75,68,58,1392,1397,119,94,87,934,1566,1571,0,2,10,752,1740,1745,68,59,59
0,174,179,-1,-1,-1,829,348,353,134,108,98,935,522,527,134,108,98,77,696,701,59,36,27,0,870,875,-1,-1,-1,1247,1044,1049,122,104,97,566,1218,1223,82,67,56,271,1392,1397,120,95,88,65,1566,1571,0,0,7,1179,1740,1745,69,60,59
0,174,179,-1,-1,-1,1120,348,353,97,78,75,850,522,527,135,108,98,56,696,701,50,36,26,39,870,875,0,0,2,1311,1044,1049,122,103,97,562,1218,1223,120,96,89,324,1392,1397,62,50,47,32,1566,1571,1,1,3,955,1740,1745,75,66,64
587,174,179,135,109,99,1190,348,353,135,109,99,849,522,527,109,87,77,0,696,701,-1,-1,-1,0,870,875,-1,-1,-1,1396,1044,1049,122,103,97,606,1218,1223,121,96,89,344,1392,1397,121,96,89,76,1566,1571,0,1,5,675,1740,1745,77,68,67
1159,174,179,144,114,105,900,348,353,144,114,105,264,522,527,109,82,71,0,696,701,-1,-1,-1,405,870,875,122,103,97,1558,1044,1049,63,53,50,752,1218,1223,121,96,89,375,1392,1397,67,53,48,110,1566,1571,0,1,5,389,1740,1745,66,59,57
611,174,179,141,110,93,179,348,353,57,40,41,0,522,527,-1,-1,-1,55,696,701,1,1,8,739,870,875,122,103,97,1717,1044,1049,121,99,93,849,1218,1223,102,82,74,403,1392,1397,121,96,89,58,1566,1571,0,1,8,0,1740,1745,-1,-1,-1
18,174,179,46,37,45,0,348,353,-1,-1,-1,45,522,527,10,8,8,60,696,701,57,37,14,1102,870,875,122,103,96,2072,1044,1049,122,100,92,1032,1218,1223,103,83,73,449,1392,1397,122,97,89,91,1566,1571,1,1,4,50,1740,1745,2,2,0
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,0,696,701,-1,-1,-1,1190,870,875,124,105,99,2212,1044,1049,123,101,94,1368,1218,1223,123,101,94,490,1392,1397,122,97,90,59,1566,1571,2,2,9,0,1740,1745,-1,-1,-1
29,174,179,4,4,6,20,348,353,1,0,3,0,522,527,-1,-1,-1,0,696,701,-1,-1,-1,1260,870,875,89,75,69,2324,1044,1049,122,97,90,1765,1218,1223,122,97,90,612,1392,1397,71,57,52,60,1566,1571,1,1,8,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,50,696,701,0,0,3,1325,870,875,126,107,101,2484,1044,1049,83,68,64,2086,1218,1223,123,98,91,706,1392,1397,84,66,60,532,1566,1571,62,51,51,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,55,348,353,0,0,0,0,522,527,-1,-1,-1,45,696,701,9,7,8,1567,870,875,125,105,99,2165,1044,1049,90,61,53,1983,1218,1223,122,94,86,593,1392,1397,122,94,86,617,1566,1571,122,94,86,36,1740,1745,3,4,2
65,174,179,1,6,21,0,348,353,-1,-1,-1,12,522,527,66,29,11,59,696,701,49,31,25,1835,870,875,123,104,98,2422,1044,1049,87,61,52,1790,1218,1223,123,104,98,9,1392,1397,35,26,24,179,1566,1571,105,82,75,155,1740,1745,54,43,38
33,174,179,5,3,7,0,348,353,-1,-1,-1,0,522,527,-1,-1,-1,45,696,701,79,62,56,2137,870,875,104,86,80,2547,1044,1049,87,61,53,2070,1218,1223,122,103,97,54,1392,1397,49,39,36,45,1566,1571,19,15,13,0,1740,1745,-1,-1,-1
22,174,179,104,40,10,0,348,353,-1,-1,-1,59,522,527,48,37,34,205,696,701,103,85,78,2368,870,875,121,102,96,2742,1044,1049,82,53,49,2236,1218,1223,121,102,96,131,1392,1397,44,36,31,36,1566,1571,25,21,17,18,1740,1745,2,3,1
0,174,179,-1,-1,-1,101,348,353,18,15,14,0,522,527,-1,-1,-1,1253,696,701,121,102,96,2641,870,875,121,102,96,2870,1044,1049,77,52,48,2418,1218,1223,121,102,96,72,1392,1397,49,39,36,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
164,174,179,65,28,14,40,348,353,38,29,23,0,522,527,-1,-1,-1,1631,696,701,121,102,96,2780,870,875,121,102,96,2963,1044,1049,101,85,80,2581,1218,1223,121,102,96,430,1392,1397,76,64,55,36,1566,1571,7,5,3,56,1740,1745,18,12,12
0,174,179,-1,-1,-1,0,348,353,-1,-1,-1,45,522,527,26,20,20,1954,696,701,103,85,77,3046,870,875,103,86,78,3013,1044,1049,101,86,79,2626,1218,1223,122,103,97,848,1392,1397,85,70,63,0,1566,1571,-1,-1,-1,55,1740,1745,23,19,16
110,174,179,30,24,20,0,348,353,-1,-1,-1,10,522,527,76,61,52,2241,696,701,92,76,69,3097,870,875,105,87,79,3130,1044,1049,122,103,96,2798,1218,1223,122,103,96,1373,1392,1397,75,61,50,0,1566,1571,-1,-1,-1,10,1740,1745,34,29,24
0,174,179,-1,-1,-1,102,348,353,64,36,32,100,522,527,77,61,55,2491,696,701,94,78,74,3236,870,875,74,59,50,3305,1044,1049,88,71,65,2927,1218,1223,69,58,55,1715,1392,1397,85,67,54,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,147,348,353,55,41,39,21,522,527,81,65,58,2612,696,701,94,78,73,3268,870,875,121,102,96,3320,1044,1049,121,102,96,2943,1218,1223,95,80,74,1818,1392,1397,87,69,57,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,140,348,353,55,41,37,75,522,527,85,69,61,2607,696,701,94,78,73,3254,870,875,104,87,79,3315,1044,1049,121,102,96,2927,1218,1223,121,102,96,1862,1392,1397,84,69,58,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
0,174,179,-1,-1,-1,128,348,353,57,31,29,9,522,527,69,57,51,1755,696,701,85,72,67,2698,870,875,99,83,80,2778,1044,1049,114,98,92,2290,1218,1223,114,98,92,150,1392,1397,85,72,67,0,1566,1571,-1,-1,-1,0,1740,1745,-1,-1,-1
